 1
241   1
  0.50000000    0.00000000 
  0.48738063    0.01081921 
  0.47476127    0.02155969 
  0.46214190    0.03208121 
  0.44952253    0.04234039 
  0.43690317    0.05231524 
  0.42428380    0.06199478 
  0.41166443    0.07137865 
  0.39904507    0.08046005 
  0.38642570    0.08924253 
  0.37380634    0.09773006 
  0.36118697    0.10592657 
  0.34856760    0.11382877 
  0.33594824    0.12144749 
  0.32332887    0.12879196 
  0.31070950    0.13584976 
  0.29809014    0.14264580 
  0.28547077    0.14916426 
  0.27285140    0.15542448 
  0.26023204    0.16142814 
  0.24761267    0.16716725 
  0.23499330    0.17265724 
  0.22237394    0.17790043 
  0.20975457    0.18289914 
  0.19713520    0.18765307 
  0.18451584    0.19216329 
  0.17189647    0.19643685 
  0.15927710    0.20047581 
  0.14665774    0.20428210 
  0.13403837    0.20785753 
  0.12141901    0.21120378 
  0.10879964    0.21432238 
  0.09618027    0.21721471 
  0.08356091    0.21988196 
  0.07094154    0.22232518 
  0.05832217    0.22454520 
  0.04570281    0.22654269 
  0.03308344    0.22831810 
  0.02046407    0.22987169 
  0.00784471    0.23120350 
 -0.00477466    0.23231335 
 -0.01468525    0.23302755 
 -0.02459202    0.23360481 
 -0.03449115    0.23404534 
 -0.04437882    0.23434447 
 -0.05425123    0.23451044 
 -0.06410456    0.23453108 
 -0.07393502    0.23442257 
 -0.08373881    0.23416533 
 -0.09351217    0.23378347 
 -0.10325131    0.23324996 
 -0.11295249    0.23259305 
 -0.12261196    0.23178960 
 -0.13222601    0.23086067 
 -0.14179092    0.22979083 
 -0.15130301    0.22859391 
 -0.16075861    0.22726214 
 -0.17015407    0.22580216 
 -0.17948578    0.22421386 
 -0.18875013    0.22249673 
 -0.19794356    0.22065824 
 -0.20706252    0.21869075 
 -0.21610349    0.21660929 
 -0.22506299    0.21439918 
 -0.23393756    0.21208293 
 -0.24272379    0.20963881 
 -0.25141828    0.20709512 
 -0.26001769    0.20442821 
 -0.26851870    0.20166514 
 -0.27691802    0.19878772 
 -0.28521244    0.19581611 
 -0.29339873    0.19273948 
 -0.30147376    0.18957103 
 -0.30943441    0.18630730 
 -0.31727760    0.18295462 
 -0.32500031    0.17951677 
